
    -------------------------------------------------------------
    -------------- Model input ----------------------------------
    -------------------------------------------------------------

    Model parameters:

    +---------------+---------+
    | Parameter     |   Value |
    |---------------+---------|
    | w [m]         |     100 |
    | h [m]         |      10 |
    | d [m]         |       5 |
    | t [m]         |     0.5 |
    | thickness [m] |       1 |
    | kx [m/day]    |      20 |
    | ky [m/day]    |      20 |
    +---------------+---------+

    Model boundary conditions:

    +----------+--------------------+
    |   Marker |   Piezometric head |
    |----------+--------------------|
    |       10 |                 10 |
    |       20 |                  0 |
    +----------+--------------------+

    -------------------------------------------------------------
    -------------- Results --------------------------------------
    -------------------------------------------------------------

    Model info:

    +---------------------+-----+
    | Max element size:   |   2 |
    | Dofs per node:      |   1 |
    | Element type:       |   2 |
    | Number of dofs:     | 396 |
    | Number of elements: | 672 |
    | Number of nodes:    | 396 |
    +---------------------+-----+

    Summary of results:

    +------------------------+---------+---------+
    | Max piezometric head:  |  10.000 | [m]     |
    | Min piezometric head:  |   0.000 | [m]     |
    | Max boundary flow:     |  20.776 | [m/day] |
    | Min boundary flow:     | -21.007 | [m/day] |
    | Sum boundary flow:     |   0.000 | [m/day] |
    | Max resulting gw flow: |  67.544 | [m/day] |
    | Min resulting gw flow: |   0.003 | [m/day] |
    +------------------------+---------+---------+

    Results per node:

    +-----+-------+-----------+------------+--------+-----------+
    |   N |   dof |   x_coord |    y_coord |   P.h. |      q BC |
    |     |       |       [m] |        [m] |    [m] |   [m/day] |
    |-----+-------+-----------+------------+--------+-----------|
    | 189 |   189 |      44.2 |        4.1 |  8.250 |    -0.000 |
    | 190 |   190 |      43.6 |        5.3 |  8.681 |     0.000 |
    | 191 |   191 |      46.6 |        2.1 |  7.008 |     0.000 |
    | 192 |   192 |      42.7 |        4.1 |  8.613 |     0.000 |
    | 193 |   193 |      41.8 |        5.6 |  9.038 |     0.000 |
    | 194 |   194 |      40.8 |        4.2 |  8.993 |     0.000 |
    | 195 |   195 |      40.0 |        5.8 |  9.302 |    -0.000 |
    | 196 |   196 |      38.8 |        4.4 |  9.279 |     0.000 |
    | 197 |   197 |      48.8 |        1.8 |  5.773 |     0.000 |
    | 198 |   198 |      41.3 |        7.2 |  9.402 |    -0.000 |
    | 199 |   199 |      38.2 |        6.4 |  9.548 |    -0.000 |
    | 200 |   200 |      36.9 |        4.5 |  9.479 |    -0.000 |
    | 201 |   201 |      35.9 |        6.4 |  9.681 |    -0.000 |
    | 202 |   202 |      34.9 |        4.8 |  9.632 |    -0.000 |
    | 203 |   203 |      55.1 |        6.3 |  1.331 |     0.000 |
    | 204 |   204 |      56.4 |        5.4 |  1.313 |     0.000 |
    | 205 |   205 |      56.3 |        3.4 |  1.729 |    -0.000 |
    | 206 |   206 |      58.1 |        4.4 |  1.185 |    -0.000 |
    | 207 |   207 |      58.2 |        6.4 |  0.799 |     0.000 |
    | 208 |   208 |      59.6 |        5.1 |  0.847 |     0.000 |
    | 209 |   209 |      43.0 |        1.5 |  8.257 |    -0.000 |
    | 210 |   210 |      57.0 |        1.7 |  1.729 |     0.000 |
    | 211 |   211 |      57.3 |        8.3 |  0.457 |     0.000 |
    | 212 |   212 |      42.6 |        8.5 |  9.612 |    -0.000 |
    | 213 |   213 |      59.2 |        8.3 |  0.338 |    -0.000 |
    | 214 |   214 |      61.0 |        1.7 |  0.929 |     0.000 |
    | 215 |   215 |      62.0 |        3.4 |  0.703 |     0.000 |
    | 216 |   216 |      64.0 |        3.4 |  0.515 |    -0.000 |
    | 217 |   217 |      63.0 |        5.1 |  0.490 |     0.000 |
    | 218 |   218 |      65.0 |        5.2 |  0.354 |     0.000 |
    | 219 |   219 |      38.9 |        1.6 |  9.087 |    -0.000 |
    | 220 |   220 |      66.0 |        3.5 |  0.376 |     0.000 |
    | 221 |   221 |      67.0 |        5.2 |  0.258 |     0.000 |
    | 222 |   222 |      63.1 |        8.3 |  0.180 |     0.000 |
    | 223 |   223 |      36.8 |        8.3 |  9.818 |    -0.000 |
    | 224 |   224 |      34.9 |        1.6 |  9.512 |     0.000 |
    | 225 |   225 |      77.0 |        1.7 |  0.075 |    -0.000 |
    | 226 |   226 |      76.0 |        3.5 |  0.078 |     0.000 |
    | 227 |   227 |      74.0 |        3.5 |  0.107 |     0.000 |
    | 228 |   228 |      75.0 |        5.1 |  0.073 |     0.000 |
    | 229 |   229 |      73.1 |        5.1 |  0.100 |    -0.000 |
    | 230 |   230 |      77.0 |        5.1 |  0.054 |    -0.000 |
    | 231 |   231 |      72.0 |        3.5 |  0.146 |    -0.000 |
    | 232 |   232 |      71.0 |        5.1 |  0.138 |    -0.000 |
    | 233 |   233 |      69.0 |        1.7 |  0.264 |    -0.000 |
    | 234 |   234 |      68.0 |        3.5 |  0.274 |    -0.000 |
    | 235 |   235 |      69.0 |        5.2 |  0.189 |     0.000 |
    | 236 |   236 |      70.0 |        3.4 |  0.200 |     0.000 |
    | 237 |   237 |      93.0 |        1.7 |  0.007 |    -0.000 |
    | 238 |   238 |      92.0 |        3.5 |  0.007 |    -0.000 |
    | 239 |   239 |      90.0 |        3.5 |  0.009 |     0.000 |
    | 240 |   240 |      91.0 |        5.2 |  0.006 |     0.000 |
    | 241 |   241 |      89.0 |        5.2 |  0.008 |    -0.000 |
    | 242 |   242 |      93.0 |        5.2 |  0.005 |     0.000 |
    | 243 |   243 |      88.0 |        3.5 |  0.012 |    -0.000 |
    | 244 |   244 |      87.0 |        5.2 |  0.011 |    -0.000 |
